,NB_SCATS_SITE,NB_DETECTOR,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,CT_RECORDS,QT_VOLUME_24HOUR,CT_ALARM_24HOUR,DATE
count,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360
mean,3694.9830508474574,13.516949152542374,3.5377118644067798,3.057627118644068,2.803813559322034,2.4533898305084745,2.3766949152542374,1.8627118644067797,1.6991525423728813,1.4427966101694916,1.4148305084745763,1.2165254237288134,1.1046610169491526,1.0334745762711866,1.0300847457627118,0.9792372881355932,1.0059322033898306,0.9097457627118644,0.9385593220338984,1.1822033898305084,1.7279661016949153,1.9961864406779661,2.8983050847457625,3.777542372881356,5.157203389830508,7.03135593220339,8.422881355932203,11.039830508474576,13.932203389830509,15.667372881355933,16.646186440677965,19.60635593220339,22.316949152542374,24.23220338983051,24.321186440677966,24.72584745762712,24.534745762711864,24.12457627118644,22.210593220338982,21.375,20.566949152542374,20.608474576271185,19.684745762711863,19.86694915254237,19.746186440677967,20.09364406779661,20.016525423728815,20.311864406779662,20.639830508474578,21.098728813559323,20.809745762711863,20.964830508474577,20.697881355932203,20.688983050847458,20.729237288135593,20.660169491525423,20.461440677966102,20.828389830508474,20.820762711864408,21.336016949152544,21.651694915254236,22.446186440677966,22.971610169491527,23.211440677966102,23.041949152542372,23.286016949152543,23.95677966101695,24.071610169491525,24.102118644067797,24.423728813559322,24.922881355932205,25.443644067796612,25.12627118644068,24.972457627118644,24.020762711864407,23.42627118644068,21.535593220338985,20.01186440677966,18.2635593220339,17.155508474576273,15.61906779661017,15.11822033898305,14.058474576271186,13.81186440677966,13.089406779661017,12.791525423728814,12.68686440677966,12.154661016949152,11.498305084745763,10.970762711864406,10.272033898305084,9.74406779661017,8.54364406779661,7.768220338983051,7.060593220338983,6.09364406779661,5.425,4.871610169491525,96.0,1383.4368644067797,1.485593220338983,2025-04-03 00:00:00
min,2000.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.0,-1.0,0.0,2025-04-01 00:00:00
25%,3126.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,2025-04-02 00:00:00
50%,4030.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,0.0,2025-04-03 00:00:00
75%,4264.0,20.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,7.0,11.0,15.0,20.0,22.0,26.0,32.0,38.0,36.0,39.0,40.25,41.0,37.0,36.0,33.0,34.0,32.0,32.0,32.25,33.0,33.0,34.0,35.0,35.0,36.0,35.0,34.0,35.25,35.0,34.0,33.0,34.0,35.0,35.25,36.0,38.0,39.0,38.0,39.25,39.0,41.0,41.0,42.0,42.0,42.0,42.0,42.25,42.0,41.0,40.0,37.0,34.0,31.0,27.0,25.0,24.0,23.0,21.25,20.0,19.0,19.0,17.0,17.0,15.0,14.0,13.0,11.0,9.0,8.0,7.0,5.25,5.0,96.0,2374.0,0.0,2025-04-04 00:00:00
max,4324.0,31.0,133.0,147.0,220.0,186.0,334.0,151.0,132.0,105.0,121.0,104.0,96.0,105.0,108.0,103.0,155.0,66.0,40.0,80.0,166.0,114.0,362.0,131.0,271.0,501.0,144.0,177.0,198.0,194.0,254.0,485.0,338.0,397.0,341.0,199.0,190.0,203.0,174.0,184.0,172.0,202.0,165.0,174.0,164.0,164.0,162.0,184.0,168.0,382.0,160.0,158.0,146.0,152.0,158.0,164.0,161.0,212.0,156.0,151.0,157.0,190.0,215.0,205.0,180.0,198.0,201.0,211.0,201.0,177.0,256.0,197.0,198.0,180.0,184.0,160.0,156.0,157.0,241.0,149.0,138.0,147.0,138.0,137.0,149.0,184.0,146.0,135.0,113.0,105.0,108.0,118.0,99.0,113.0,150.0,110.0,151.0,139.0,96.0,9414.0,96.0,2025-04-05 00:00:00
std,619.4853938289883,7.91297843123558,8.32537359801025,8.167807720796905,8.930615822734714,7.8059572494654255,9.633339870378284,5.474884605451809,5.333569942936464,4.109680954869257,4.996348006362259,3.880711505959404,3.8726631142902415,3.5022160675546936,4.077817866399452,3.521867894505628,4.7827723974166725,2.8206060523450467,2.5249993055199513,3.7781669333375083,6.407371570617298,5.869607802193852,10.20276818740995,9.549811619575378,13.110071033448449,18.669768910131108,18.873465501737005,23.60791656268647,28.1918964162549,29.804135862371442,30.943011009637374,36.531016655683665,39.02596890882376,41.25228552272948,40.629878208711375,40.40354736662507,39.53363757262117,38.15983083714305,34.975146115050855,33.93910915984387,32.503336783960066,32.359470399026904,30.836132764489175,31.584040257651967,31.38300751242252,31.435840745337874,31.255543674512534,31.969732319309635,32.24529669481974,33.39691545528264,32.18222263830252,32.83436976118638,32.43015509486868,32.315840865091026,32.47848593440563,32.51272588708612,32.29477212381117,32.821168803249535,32.56609793136494,33.23736704786399,33.620237130796575,34.688483267782495,35.66663687482634,36.26073383993117,35.83696093398869,36.664004583719404,37.56876747715073,37.780635084683624,37.72269127193975,38.14093513669351,39.141161279643796,40.05269158079175,39.22560247388117,38.938877820396456,37.199985314915516,36.061209628097814,33.39004155461438,31.299491832567572,28.865874115820404,27.25584068366626,24.94875240754834,24.415854727430002,22.77839805090241,22.73009582862312,21.78627675100189,21.67683794537568,21.64317737963406,20.982890835443087,20.035809328695745,19.15427850833059,18.08581768368618,17.512103450262885,15.69291879011167,14.83645785835397,14.124354380868,12.221085897297485,11.66435214934841,10.805304183983813,0.0,2113.248081168326,11.654549899016144,
